Metric,Score
ROUGE-1,"Score(precision=0.9540229885057471, recall=0.48823529411764705, fmeasure=0.6459143968871596)"
ROUGE-2,"Score(precision=0.9069767441860465, recall=0.46153846153846156, fmeasure=0.611764705882353)"
ROUGE-L,"Score(precision=0.9540229885057471, recall=0.48823529411764705, fmeasure=0.6459143968871596)"
BLEU,0.3127148818246127
BERT-Prec,0.9404703378677368
BERT-Recall,0.8884017467498779
BERT-F1,0.9136948585510254
METEOR,0.49635567467345076
